"Survey_Group2011","Survey_Code2011","Recipient_Code","Visa_Code_DG","MR_Code_DG","MR_Field_DG","Empl_Matrix_Name_DG","Emp_Status_Name_DG","Postdoctorate_Name_DG","Degree_Institution","Degree_Department","Citizen_Name_DG","DG_No_Forms","City","State","Zip","Type_of_Degree_DG","Surgroup2011","Recipient_Number","Sex_Code_DG","Empl_Matrix_Code_OLD","Postdoctorate_Code_DG","Emp_Status_Code_DG","Left_US_DG","Empl_Position_Title","Empl_Dept_Div","Empl_Inst_Org","Empl_City","Empl_State","Empl_Zip","Empl_Country","Surcode2011","Serial Number_DG","DG_Forms_Current_Yr","Surgroup","Survey_Code","Survey_Group","Empl_Matrix_Name","Empl_Matrix_Code","Granting Dept Serial Number","Surcode","Left_US_Code_DG","Date_Conferred_Code","survey_year","survey_type"
20.0,FLUF,"120FLUF0212",888.0,20.0,"1-Alg",Group II,Full-time,Yes,University of Florida,Department of Mathematics,United States,9.0,Gainesville,FL,"32611",PHD,"20",2.0,2.0,20.0,1.0,1.0,No,Riley Visiting Assistant Professor,Department of Mathematics,Binghamton University SUNY,Vestal,NY,"13850",,"20FLUF",20121761,9.0,MPu_M,FLUF,120.0,Math Public Medium,120.0,1427.0,"120FLUF",2.0,11.0,2012,DGData
12.0,CAIT,"140CAIT0212",888.0,5.0,"4-Disc",Group I Private,Full-time,Yes,California Institute of Technology,Department of Computing and Mathematical Sciences,United States,4.0,Pasadena,CA,"91125",PHD,"12",2.0,1.0,12.0,1.0,1.0,No,NSF Postdoctoral Fellow,Department of Mathematics,Massachusetts Institute of Technology,Cambridge,MA,"02139",United States,"12CAIT",20124092,4.0,MPr_L,CAIT,140.0,Math Private Large,140.0,1214.0,"140CAIT",2.0,12.0,2012,DGData
12.0,CAIT,"140CAIT0312",888.0,57.0,"3-Geom",Group I Private,Full-time,Yes,California Institute of Technology,Department of Computing and Mathematical Sciences,United States,4.0,Pasadena,CA,"91125",PHD,"12",3.0,2.0,12.0,1.0,1.0,No,Dickson Instructor and NSF Fellow,Department of Mathematics,University of Chicago,Chicago,IL,"60637",United States,"12CAIT",20120147,4.0,MPr_L,CAIT,140.0,Math Private Large,140.0,1214.0,"140CAIT",2.0,12.0,2012,DGData
30.0,GAEU,"140GAEU0312",2.0,99.0,"12-Oth",Group IV,Full-time,Yes,Emory University,Mathematics & Computer Science Department,India,9.0,Atlanta,GA,"30322",PHD,"30",3.0,2.0,40.0,1.0,1.0,No,Post-Doctoral Fellow,Department of Biostatistics,Emory University,Atlanta,GA,"30322",,"30GAEU",20123198,9.0,MPr_L,GAEU,140.0,Biostatistics,310.0,1399.0,"140GAEU",2.0,11.0,2012,DGData
12.0,CAIT,"140CAIT0412",2.0,11.0,"1-Alg",Non-US Academic,Full-time,Yes,California Institute of Technology,Department of Computing and Mathematical Sciences,China,4.0,Pasadena,CA,"91125",PHD,"12",4.0,2.0,150.0,1.0,1.0,Yes,Postdoc,Mathematics Center,Heidelberg University,Heidelberg D-69120,,,GERMANY,"12CAIT",20124452,4.0,MPr_L,CAIT,140.0,Non-US Academic,945.0,1214.0,"140CAIT",1.0,12.0,2012,DGData
51.0,CASZ,"160CASZ0212",2.0,62.0,"6-Stat",Group IV,Full-time,Yes,"University of California, Santa Cruz",Applied Mathematics & Statistics Department,China,5.0,Santa Cruz,CA,"95064",PHD,"51",2.0,1.0,40.0,1.0,1.0,No,Post Doctoral Research Associate,Department of Biostatistics,University of North Carolina at Chapel Hill,Chapel Hill,NC,"27599-7420",United States,"51CASZ",20121884,5.0,Applied,CASZ,160.0,Biostatistics,310.0,2702.0,"160CASZ",2.0,6.0,2012,DGData
20.0,FLUF,"120FLUF0312",2.0,82.0,"7-Appl",Group III,Full-time,No,University of Florida,Department of Mathematics,India,9.0,Gainesville,FL,"32611",PHD,"20",3.0,1.0,30.0,2.0,1.0,No,Lecturer ,Department of Mathematics and Statistics,University of Missouri - Kansas City,Kansas City,MO,"64110",,"20FLUF",20120951,9.0,MPu_M,FLUF,120.0,Math Public Small,130.0,1427.0,"120FLUF",2.0,6.0,2012,DGData
51.0,CASZ,"160CASZ0312",888.0,62.0,"6-Stat",Non-US Nonacademic,Full-time,Yes,"University of California, Santa Cruz",Applied Mathematics & Statistics Department,United States,5.0,Santa Cruz,CA,"95064",PHD,"51",3.0,1.0,160.0,1.0,1.0,Yes,Post Doctoral Research Associate,MRC Biostatistics Unit/Institute of Public Health,University Forvie Site,Cambridge CB2 0SR,,,UNITED KINGDOM,"51CASZ",20122592,5.0,Applied,CASZ,160.0,Non-US Nonacademic,955.0,2702.0,"160CASZ",1.0,6.0,2012,DGData
51.0,CASZ,"160CASZ0412",888.0,62.0,"6-Stat",Other Academic,Full-time,Yes,"University of California, Santa Cruz",Applied Mathematics & Statistics Department,United States,5.0,Santa Cruz,CA,"95064",PHD,"51",4.0,1.0,90.0,1.0,1.0,No,Post Doctoral Fellow,Division of Quantitative Sciences Unit 1409,The University of Texas MD Anderson Cancer Center,Houston,TX,"77230-1402",United States,"51CASZ",20122244,5.0,Applied,CASZ,160.0,Other Academic,905.0,2702.0,"160CASZ",2.0,3.0,2012,DGData
51.0,CASZ,"160CASZ0512",888.0,62.0,"6-Stat",Business/Industry,Full-time,No,"University of California, Santa Cruz",Applied Mathematics & Statistics Department,United States,5.0,Santa Cruz,CA,"95064",PHD,"51",5.0,2.0,120.0,2.0,1.0,No,Analytic Scientist II,,FICO,San Rafael,CA,"94903",United States,"51CASZ",20124251,5.0,Applied,CASZ,160.0,Business/Industry,935.0,2702.0,"160CASZ",2.0,12.0,2012,DGData
